landmark_id,class,frame_id,x1,y1,x2,y2
landmark_001,house,frame_001,995,805,1270,973
landmark_002,car,frame_001,525,973,600,1048
landmark_003,house,frame_002,993,807,1280,965
landmark_004,car,frame_002,518,970,650,1049
landmark_005,house,frame_002,962,708,1151,802
landmark_006,car,frame_002,518,978,589,1044
landmark_007,house,frame_003,993,807,1295,985
landmark_008,house,frame_003,959,710,1155,797
landmark_009,house,frame_004,997,812,1306,983
landmark_010,house,frame_005,996,809,1308,987
landmark_011,house,frame_006,1002,816,1325,995
landmark_012,house,frame_007,1005,827,1339,1003
landmark_013,house,frame_007,959,709,1180,812
landmark_014,house,frame_008,1004,828,1341,1007
landmark_015,house,frame_008,961,711,1179,813
landmark_016,house,frame_009,1001,826,1341,1016
landmark_017,house,frame_009,947,719,1194,813
landmark_018,house,frame_010,999,822,1341,1023
landmark_019,house,frame_010,947,721,1196,818
landmark_020,house,frame_011,1002,827,1349,1031
landmark_021,house,frame_011,949,725,1198,815
landmark_022,house,frame_011,783,715,941,814
landmark_023,house,frame_012,1002,838,1380,1049
landmark_024,house,frame_012,753,715,938,818
landmark_025,house,frame_012,952,724,1202,818
landmark_026,house,frame_013,1001,855,1390,1062
landmark_027,house,frame_013,949,725,1200,825
landmark_028,house,frame_013,756,717,937,819
landmark_029,house,frame_014,1005,862,1399,1068
landmark_030,house,frame_014,947,728,1206,829
landmark_031,house,frame_014,771,720,938,828
landmark_032,house,frame_015,1009,860,1410,1076
landmark_033,house,frame_015,945,727,1204,833
landmark_034,house,frame_015,765,718,937,826
landmark_035,house,frame_016,1010,847,1443,1080
landmark_036,house,frame_016,948,730,1201,833
landmark_037,house,frame_016,759,722,940,836
landmark_038,house,frame_017,1010,855,1461,1079
landmark_039,house,frame_017,946,731,1213,834
landmark_040,house,frame_017,737,721,938,841
landmark_041,house,frame_017,679,604,808,677
landmark_042,house,frame_018,950,732,1216,840
landmark_043,house,frame_018,1006,868,1469,1078
landmark_044,house,frame_018,745,721,939,843
landmark_045,house,frame_019,949,732,1217,841
landmark_046,house,frame_019,1005,871,1443,1079
landmark_047,house,frame_019,725,726,935,846
landmark_048,house,frame_019,657,606,801,677
landmark_049,house,frame_020,945,736,1219,846
landmark_050,house,frame_020,744,728,935,851
landmark_051,house,frame_020,1004,878,1415,1080
landmark_052,house,frame_020,654,613,790,685
landmark_053,house,frame_021,942,741,1221,848
landmark_054,house,frame_021,771,730,938,844
landmark_055,car,frame_021,815,838,879,881
landmark_056,house,frame_021,1012,881,1453,1080
landmark_057,house,frame_021,640,617,784,692
landmark_058,house,frame_022,942,742,1234,854
landmark_059,house,frame_022,748,736,937,852
landmark_060,car,frame_022,811,845,885,892
landmark_061,house,frame_022,1009,897,1435,1078
landmark_062,house,frame_023,945,746,1235,857
landmark_063,house,frame_023,728,737,936,854
landmark_064,house,frame_023,1005,905,1446,1078
landmark_065,car,frame_023,804,849,883,899
landmark_066,house,frame_023,660,608,803,682
landmark_067,house,frame_024,946,747,1240,860
landmark_068,house,frame_024,738,738,934,860
landmark_069,car,frame_024,801,850,881,897
landmark_070,car,frame_024,917,940,970,998
landmark_071,house,frame_024,1009,910,1445,1080
landmark_072,house,frame_024,653,616,791,688
landmark_073,house,frame_025,746,742,934,863
landmark_074,house,frame_025,954,749,1242,867
landmark_075,car,frame_025,801,854,876,902
landmark_076,car,frame_025,912,950,968,1008
landmark_077,house,frame_025,1009,912,1457,1079
landmark_078,house,frame_025,623,618,792,695
landmark_079,house,frame_025,611,623,755,698
landmark_080,house,frame_026,950,751,1235,870
landmark_081,car,frame_026,799,859,877,905
landmark_082,house,frame_026,722,747,934,869
landmark_083,car,frame_026,912,953,969,1023
landmark_084,house,frame_026,620,625,761,696
landmark_085,house,frame_026,851,644,975,707
landmark_086,house,frame_027,722,744,941,869
landmark_087,house,frame_027,951,752,1249,881
landmark_088,car,frame_027,800,864,877,912
landmark_089,car,frame_027,911,964,970,1033
landmark_090,house,frame_027,608,627,747,699
landmark_091,house,frame_027,851,644,972,709
landmark_092,house,frame_028,729,752,941,873
landmark_093,house,frame_028,942,753,1241,880
landmark_094,car,frame_028,797,868,877,917
landmark_095,car,frame_028,910,969,969,1041
landmark_096,house,frame_028,850,642,972,711
landmark_097,house,frame_028,615,627,768,699
landmark_098,house,frame_029,721,753,940,883
landmark_099,house,frame_029,937,756,1248,887
landmark_100,car,frame_029,792,875,877,923
landmark_101,car,frame_029,910,979,968,1045
landmark_102,house,frame_029,847,644,974,713
landmark_103,house,frame_030,940,759,1245,888
landmark_104,house,frame_030,718,749,932,885
landmark_105,car,frame_030,790,877,871,926
landmark_106,car,frame_030,912,984,971,1059
landmark_107,house,frame_030,849,647,972,714
landmark_108,house,frame_031,939,762,1244,891
landmark_109,house,frame_031,711,751,932,887
landmark_110,car,frame_031,788,883,873,935
landmark_111,car,frame_031,911,992,972,1073
landmark_112,house,frame_031,845,644,963,715
landmark_113,house,frame_032,947,766,1250,892
landmark_114,house,frame_032,707,752,932,889
landmark_115,car,frame_032,784,888,876,941
landmark_116,car,frame_032,909,1001,970,1077
landmark_117,house,frame_032,849,649,972,717
landmark_118,house,frame_033,949,771,1262,901
landmark_119,car,frame_033,785,890,877,948
landmark_120,house,frame_033,698,755,931,903
landmark_121,car,frame_033,910,1015,971,1078
landmark_122,house,frame_033,850,650,972,716
landmark_123,house,frame_034,947,773,1268,907
landmark_124,house,frame_034,693,755,929,903
landmark_125,car,frame_034,783,897,872,950
landmark_126,car,frame_034,907,1018,974,1080
landmark_127,car,frame_034,949,833,995,871
landmark_128,house,frame_034,851,649,973,716
landmark_129,house,frame_034,600,637,739,706
landmark_130,house,frame_035,942,774,1270,909
landmark_131,house,frame_035,688,767,930,909
landmark_132,car,frame_035,781,904,867,958
landmark_133,car,frame_035,906,1030,971,1079
landmark_134,house,frame_035,595,641,736,708
landmark_135,house,frame_035,850,651,973,718
landmark_136,house,frame_036,943,775,1278,916
landmark_137,house,frame_036,688,761,930,913
landmark_138,car,frame_036,774,912,868,962
landmark_139,car,frame_036,902,1042,965,1080
landmark_140,house,frame_036,590,637,733,715
landmark_141,house,frame_036,848,649,959,719
landmark_142,car,frame_036,466,840,540,897
landmark_143,house,frame_037,940,778,1279,915
landmark_144,house,frame_037,689,765,931,922
landmark_145,car,frame_037,775,917,865,970
landmark_146,car,frame_037,1102,972,1141,1003
landmark_147,house,frame_037,599,634,734,710
landmark_148,house,frame_037,846,651,961,721
landmark_149,house,frame_038,937,779,1276,924
landmark_150,car,frame_038,769,922,864,974
landmark_151,house,frame_038,683,770,930,923
landmark_152,house,frame_038,593,641,726,716
landmark_153,house,frame_038,844,649,1039,724
landmark_154,house,frame_039,934,782,1281,931
landmark_155,house,frame_039,688,771,929,927
landmark_156,car,frame_039,766,926,862,983
landmark_157,house,frame_039,590,643,735,714
landmark_158,car,frame_039,1105,984,1145,1020
landmark_159,house,frame_039,842,648,967,723
landmark_160,house,frame_040,681,775,927,932
landmark_161,house,frame_040,943,787,1283,932
landmark_162,car,frame_040,763,932,861,988
landmark_163,house,frame_040,587,642,723,717
landmark_164,house,frame_040,1062,708,1279,789
landmark_165,house,frame_040,806,715,1013,792
landmark_166,house,frame_041,668,779,928,938
landmark_167,car,frame_041,764,937,862,996
landmark_168,house,frame_041,942,791,1289,938
landmark_169,house,frame_041,584,642,727,722
landmark_170,house,frame_041,1066,704,1283,788
landmark_171,house,frame_041,835,648,974,725
landmark_172,house,frame_042,676,780,929,942
landmark_173,house,frame_042,936,791,1300,946
landmark_174,car,frame_042,758,945,858,1002
landmark_175,house,frame_042,582,642,726,720
landmark_176,house,frame_042,167,795,410,983
landmark_177,house,frame_042,835,654,975,729
landmark_178,house,frame_043,655,786,929,948
landmark_179,house,frame_043,935,795,1304,951
landmark_180,car,frame_043,758,950,853,1008
landmark_181,house,frame_043,580,644,721,718
landmark_182,house,frame_043,113,805,393,997
landmark_183,house,frame_043,835,653,975,728
landmark_184,house,frame_043,1405,676,1617,784
landmark_185,house,frame_043,1070,713,1288,791
landmark_186,house,frame_044,666,781,930,961
landmark_187,house,frame_044,934,798,1309,952
landmark_188,car,frame_044,753,961,853,1017
landmark_189,house,frame_044,579,645,719,718
landmark_190,house,frame_044,837,655,973,727
landmark_191,house,frame_044,32,821,387,1008
landmark_192,house,frame_044,1413,676,1622,776
landmark_193,car,frame_044,1123,1024,1163,1062
landmark_194,house,frame_044,795,726,1018,799
landmark_195,house,frame_045,656,792,930,962
landmark_196,house,frame_045,937,797,1309,963
landmark_197,car,frame_045,749,969,853,1026
landmark_198,house,frame_045,581,644,718,717
landmark_199,house,frame_045,0,826,362,1019
landmark_200,house,frame_045,1067,714,1293,798
landmark_201,car,frame_045,894,719,944,749
